"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Área colhida (Hectares)"
"julho 2009","Brasil","1.15 Soja","56828146"
"agosto 2009","Brasil","1.15 Soja","56823510"
"setembro 2009","Brasil","1.15 Soja","56860110"
"outubro 2009","Brasil","1.15 Soja","57019657"
"novembro 2009","Brasil","1.15 Soja","57032468"
"dezembro 2009","Brasil","1.15 Soja","57036668"
"janeiro 2010","Brasil","1.15 Soja","66137344"
"fevereiro 2010","Brasil","1.15 Soja","66941524"
"março 2010","Brasil","1.15 Soja","67350136"
"abril 2010","Brasil","1.15 Soja","67913643"
"maio 2010","Brasil","1.15 Soja","68131230"
"junho 2010","Brasil","1.15 Soja","68013461"
"julho 2010","Brasil","1.15 Soja","68265873"
"agosto 2010","Brasil","1.15 Soja","68674134"
"setembro 2010","Brasil","1.15 Soja","68685605"
"outubro 2010","Brasil","1.15 Soja","68500880"
"novembro 2010","Brasil","1.15 Soja","68467108"
"dezembro 2010","Brasil","1.15 Soja","68479967"
"janeiro 2011","Brasil","1.15 Soja","67627612"
"fevereiro 2011","Brasil","1.15 Soja","68992950"
"março 2011","Brasil","1.15 Soja","71595025"
"abril 2011","Brasil","1.15 Soja","72838610"
"maio 2011","Brasil","1.15 Soja","74291984"
"junho 2011","Brasil","1.15 Soja","74889136"
"julho 2011","Brasil","1.15 Soja","74841577"
"agosto 2011","Brasil","1.15 Soja","74872713"
"setembro 2011","Brasil","1.15 Soja","74845382"
"outubro 2011","Brasil","1.15 Soja","74839655"
"novembro 2011","Brasil","1.15 Soja","74837821"
"dezembro 2011","Brasil","1.15 Soja","74829383"
"janeiro 2012","Brasil","1.15 Soja","70068731"
"fevereiro 2012","Brasil","1.15 Soja","67852740"
"março 2012","Brasil","1.15 Soja","66597687"
"abril 2012","Brasil","1.15 Soja","66410069"
"maio 2012","Brasil","1.15 Soja","65669826"
"junho 2012","Brasil","1.15 Soja","65730655"
"julho 2012","Brasil","1.15 Soja","65822995"
"agosto 2012","Brasil","1.15 Soja","65973911"
"setembro 2012","Brasil","1.15 Soja","65384254"
"outubro 2012","Brasil","1.15 Soja","65601575"
"novembro 2012","Brasil","1.15 Soja","65583643"
"dezembro 2012","Brasil","1.15 Soja","65705771"
"janeiro 2013","Brasil","1.15 Soja","82953874"
"fevereiro 2013","Brasil","1.15 Soja","83288808"
"março 2013","Brasil","1.15 Soja","80927337"
"abril 2013","Brasil","1.15 Soja","80996922"
"maio 2013","Brasil","1.15 Soja","81114862"
"junho 2013","Brasil","1.15 Soja","81333792"
"julho 2013","Brasil","1.15 Soja","81300690"
"agosto 2013","Brasil","1.15 Soja","81312070"
"setembro 2013","Brasil","1.15 Soja","81352964"
"outubro 2013","Brasil","1.15 Soja","81364313"
"novembro 2013","Brasil","1.15 Soja","81338487"
"dezembro 2013","Brasil","1.15 Soja","81699787"
"janeiro 2014","Brasil","1.15 Soja","91283222"
"fevereiro 2014","Brasil","1.15 Soja","88442511"
"março 2014","Brasil","1.15 Soja","86769230"
"abril 2014","Brasil","1.15 Soja","86887561"
"maio 2014","Brasil","1.15 Soja","86451711"
"junho 2014","Brasil","1.15 Soja","86601018"
"julho 2014","Brasil","1.15 Soja","86639858"
"agosto 2014","Brasil","1.15 Soja","86642526"
"setembro 2014","Brasil","1.15 Soja","86204857"
"outubro 2014","Brasil","1.15 Soja","86281097"
"novembro 2014","Brasil","1.15 Soja","86310460"
"dezembro 2014","Brasil","1.15 Soja","86442860"
"janeiro 2015","Brasil","1.15 Soja","95516844"
"fevereiro 2015","Brasil","1.15 Soja","94888440"
"março 2015","Brasil","1.15 Soja","94785981"
"abril 2015","Brasil","1.15 Soja","95610365"
"maio 2015","Brasil","1.15 Soja","96257841"
"junho 2015","Brasil","1.15 Soja","96442521"
"julho 2015","Brasil","1.15 Soja","96666669"
"agosto 2015","Brasil","1.15 Soja","96744941"
"setembro 2015","Brasil","1.15 Soja","96921027"
"outubro 2015","Brasil","1.15 Soja","96884196"
"novembro 2015","Brasil","1.15 Soja","96926618"
"dezembro 2015","Brasil","1.15 Soja","97043705"
"janeiro 2016","Brasil","1.15 Soja","102689122"
"fevereiro 2016","Brasil","1.15 Soja","101816438"
"março 2016","Brasil","1.15 Soja","100191047"
"abril 2016","Brasil","1.15 Soja","98472972"
"maio 2016","Brasil","1.15 Soja","96757132"
"junho 2016","Brasil","1.15 Soja","96569646"
"julho 2016","Brasil","1.15 Soja","96347984"
"agosto 2016","Brasil","1.15 Soja","96388856"
"setembro 2016","Brasil","1.15 Soja","96056444"
"outubro 2016","Brasil","1.15 Soja","96036887"
"novembro 2016","Brasil","1.15 Soja","96026383"
"dezembro 2016","Brasil","1.15 Soja","95753265"
"janeiro 2017","Brasil","1.15 Soja","107039408"
"fevereiro 2017","Brasil","1.15 Soja","108404791"
"março 2017","Brasil","1.15 Soja","110935272"
"abril 2017","Brasil","1.15 Soja","112858921"
"maio 2017","Brasil","1.15 Soja","113871771"
"junho 2017","Brasil","1.15 Soja","114776780"
"julho 2017","Brasil","1.15 Soja","114996100"
"agosto 2017","Brasil","1.15 Soja","114918026"
"setembro 2017","Brasil","1.15 Soja","115062174"
"outubro 2017","Brasil","1.15 Soja","114959598"
"novembro 2017","Brasil","1.15 Soja","114968060"
"dezembro 2017","Brasil","1.15 Soja","114982993"
"janeiro 2018","Brasil","1.15 Soja","112433054"
"fevereiro 2018","Brasil","1.15 Soja","113154525"
