"Tabela 283 - Produção vegetal e Área colhida dos estabelecimentos agropecuários por tipo de produção vegetal - série histórica (1920/2006)"
"Ano","region","Variável","Valor"
"1920","São Paulo","Produção vegetal (Toneladas)","..."
"1920","São Paulo","Área colhida (Hectares)","..."
"1920","Paraná","Produção vegetal (Toneladas)","..."
"1920","Paraná","Área colhida (Hectares)","..."
"1920","Santa Catarina","Produção vegetal (Toneladas)","..."
"1920","Santa Catarina","Área colhida (Hectares)","..."
"1920","Rio Grande do Sul","Produção vegetal (Toneladas)","..."
"1920","Rio Grande do Sul","Área colhida (Hectares)","..."
"1920","Mato Grosso do Sul","Produção vegetal (Toneladas)","..."
"1920","Mato Grosso do Sul","Área colhida (Hectares)","..."
"1920","Mato Grosso","Produção vegetal (Toneladas)","..."
"1920","Mato Grosso","Área colhida (Hectares)","..."
"1920","Goiás","Produção vegetal (Toneladas)","..."
"1920","Goiás","Área colhida (Hectares)","..."
"1920","Distrito Federal","Produção vegetal (Toneladas)","..."
"1920","Distrito Federal","Área colhida (Hectares)","..."
"1940","Rondônia","Produção vegetal (Toneladas)","..."
"1940","Rondônia","Área colhida","..."
"1940","Acre","Produção vegetal (Toneladas)","..."
"1940","Acre","Área colhida","..."
"1940","Amazonas","Produção vegetal (Toneladas)","..."
"1940","Amazonas","Área colhida","..."
"1940","Roraima","Produção vegetal (Toneladas)","..."
"1940","Roraima","Área colhida","..."
"1940","Pará","Produção vegetal (Toneladas)","..."
"1940","Pará","Área colhida","..."
"1940","Amapá","Produção vegetal (Toneladas)","..."
"1940","Amapá","Área colhida","..."
"1940","Tocantins","Produção vegetal (Toneladas)","..."
"1940","Tocantins","Área colhida","..."
"1940","Maranhão","Produção vegetal (Toneladas)","..."
"1940","Maranhão","Área colhida","..."
"1940","Piauí","Produção vegetal (Toneladas)","..."
"1940","Piauí","Área colhida","..."
"1940","Ceará","Produção vegetal (Toneladas)","..."
"1940","Ceará","Área colhida","..."
"1940","Rio Grande do Norte","Produção vegetal (Toneladas)","..."
"1940","Rio Grande do Norte","Área colhida","..."
"1940","Paraíba","Produção vegetal (Toneladas)","..."
"1940","Paraíba","Área colhida","..."
"1940","Pernambuco","Produção vegetal (Toneladas)","..."
"1940","Pernambuco","Área colhida","..."
"1940","Alagoas","Produção vegetal (Toneladas)","..."
"1940","Alagoas","Área colhida","..."
"1940","Sergipe","Produção vegetal (Toneladas)","..."
"1940","Sergipe","Área colhida","..."
"1940","Bahia","Produção vegetal (Toneladas)","..."
"1940","Bahia","Área colhida","..."
"1940","Minas Gerais","Produção vegetal (Toneladas)","..."
"1940","Minas Gerais","Área colhida","..."
"1940","Espírito Santo","Produção vegetal (Toneladas)","..."
"1940","Espírito Santo","Área colhida","..."
"1940","Rio de Janeiro","Produção vegetal (Toneladas)","..."
"1940","Rio de Janeiro","Área colhida","..."
"1940","São Paulo","Produção vegetal (Toneladas)","..."
"1940","São Paulo","Área colhida","..."
"1940","Paraná","Produção vegetal (Toneladas)","..."
"1940","Paraná","Área colhida","..."
"1940","Santa Catarina","Produção vegetal (Toneladas)","..."
"1940","Santa Catarina","Área colhida","..."
"1940","Rio Grande do Sul","Produção vegetal (Toneladas)","..."
"1940","Rio Grande do Sul","Área colhida","..."
"1940","Mato Grosso do Sul","Produção vegetal (Toneladas)","..."
"1940","Mato Grosso do Sul","Área colhida","..."
"1940","Mato Grosso","Produção vegetal (Toneladas)","..."
"1940","Mato Grosso","Área colhida","..."
"1940","Goiás","Produção vegetal (Toneladas)","..."
"1940","Goiás","Área colhida","..."
"1940","Distrito Federal","Produção vegetal (Toneladas)","..."
"1940","Distrito Federal","Área colhida","..."
"1950","Rondônia","Produção vegetal (Toneladas)","..."
"1950","Rondônia","Área colhida (Hectares)","..."
"1950","Acre","Produção vegetal (Toneladas)","..."
"1950","Acre","Área colhida (Hectares)","..."
"1950","Amazonas","Produção vegetal (Toneladas)","..."
"1950","Amazonas","Área colhida (Hectares)","..."
"1950","Roraima","Produção vegetal (Toneladas)","..."
"1950","Roraima","Área colhida (Hectares)","..."
"1950","Pará","Produção vegetal (Toneladas)","..."
"1950","Pará","Área colhida (Hectares)","..."
"1950","Amapá","Produção vegetal (Toneladas)","..."
"1950","Amapá","Área colhida (Hectares)","..."
"1950","Tocantins","Produção vegetal (Toneladas)","..."
"1950","Tocantins","Área colhida (Hectares)","..."
"1950","Maranhão","Produção vegetal (Toneladas)","..."
"1950","Maranhão","Área colhida (Hectares)","..."
"1950","Piauí","Produção vegetal (Toneladas)","..."
"1950","Piauí","Área colhida (Hectares)","..."
"1950","Ceará","Produção vegetal (Toneladas)","..."
"1950","Ceará","Área colhida (Hectares)","..."
"1950","Rio Grande do Norte","Produção vegetal (Toneladas)","..."
"1950","Rio Grande do Norte","Área colhida (Hectares)","..."
"1950","Paraíba","Produção vegetal (Toneladas)","..."
