"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","region","Variável","Valor"
"abril 2012","Rio Grande do Norte","Produção (Toneladas)","-"
"abril 2012","Paraíba","Área colhida (Hectares)","-"
"abril 2012","Paraíba","Produção (Toneladas)","-"
"abril 2012","Pernambuco","Área colhida (Hectares)","-"
"abril 2012","Pernambuco","Produção (Toneladas)","-"
"abril 2012","Alagoas","Área colhida (Hectares)","-"
"abril 2012","Alagoas","Produção (Toneladas)","-"
"abril 2012","Sergipe","Área colhida (Hectares)","-"
"abril 2012","Sergipe","Produção (Toneladas)","-"
"abril 2012","Bahia","Área colhida (Hectares)","1113685"
"abril 2012","Bahia","Produção (Toneladas)","3447101"
"abril 2012","Minas Gerais","Área colhida (Hectares)","1005184"
"abril 2012","Minas Gerais","Produção (Toneladas)","2998090"
"abril 2012","Espírito Santo","Área colhida (Hectares)","-"
"abril 2012","Espírito Santo","Produção (Toneladas)","-"
"abril 2012","Rio de Janeiro","Área colhida (Hectares)","-"
"abril 2012","Rio de Janeiro","Produção (Toneladas)","-"
"abril 2012","São Paulo","Área colhida (Hectares)","484483"
"abril 2012","São Paulo","Produção (Toneladas)","1353139"
"abril 2012","Paraná","Área colhida (Hectares)","4446606"
"abril 2012","Paraná","Produção (Toneladas)","10884752"
"abril 2012","Santa Catarina","Área colhida (Hectares)","450731"
"abril 2012","Santa Catarina","Produção (Toneladas)","1125452"
"abril 2012","Rio Grande do Sul","Área colhida (Hectares)","4153279"
"abril 2012","Rio Grande do Sul","Produção (Toneladas)","6526600"
"abril 2012","Mato Grosso do Sul","Área colhida (Hectares)","1812968"
"abril 2012","Mato Grosso do Sul","Produção (Toneladas)","4623068"
"abril 2012","Mato Grosso","Área colhida (Hectares)","6957568"
"abril 2012","Mato Grosso","Produção (Toneladas)","21799986"
"abril 2012","Goiás","Área colhida (Hectares)","2661208"
"abril 2012","Goiás","Produção (Toneladas)","8269915"
"abril 2012","Distrito Federal","Área colhida (Hectares)","55000"
"abril 2012","Distrito Federal","Produção (Toneladas)","176000"
"maio 2012","Rondônia","Área colhida (Hectares)","142549"
"maio 2012","Rondônia","Produção (Toneladas)","459196"
"maio 2012","Acre","Área colhida (Hectares)","-"
"maio 2012","Acre","Produção (Toneladas)","-"
"maio 2012","Amazonas","Área colhida (Hectares)","-"
"maio 2012","Amazonas","Produção (Toneladas)","-"
"maio 2012","Roraima","Área colhida (Hectares)","-"
"maio 2012","Roraima","Produção (Toneladas)","-"
"maio 2012","Pará","Área colhida (Hectares)","119140"
"maio 2012","Pará","Produção (Toneladas)","356789"
"maio 2012","Amapá","Área colhida (Hectares)","-"
"maio 2012","Amapá","Produção (Toneladas)","-"
"maio 2012","Tocantins","Área colhida (Hectares)","396970"
"maio 2012","Tocantins","Produção (Toneladas)","1185896"
"maio 2012","Maranhão","Área colhida (Hectares)","556385"
"maio 2012","Maranhão","Produção (Toneladas)","1711080"
"maio 2012","Piauí","Área colhida (Hectares)","444756"
"maio 2012","Piauí","Produção (Toneladas)","1242484"
"maio 2012","Ceará","Área colhida (Hectares)","-"
"maio 2012","Ceará","Produção (Toneladas)","-"
"maio 2012","Rio Grande do Norte","Área colhida (Hectares)","-"
"maio 2012","Rio Grande do Norte","Produção (Toneladas)","-"
"maio 2012","Paraíba","Área colhida (Hectares)","-"
"maio 2012","Paraíba","Produção (Toneladas)","-"
"maio 2012","Pernambuco","Área colhida (Hectares)","-"
"maio 2012","Pernambuco","Produção (Toneladas)","-"
"maio 2012","Alagoas","Área colhida (Hectares)","-"
"maio 2012","Alagoas","Produção (Toneladas)","-"
"maio 2012","Sergipe","Área colhida (Hectares)","-"
"maio 2012","Sergipe","Produção (Toneladas)","-"
"maio 2012","Bahia","Área colhida (Hectares)","1113685"
"maio 2012","Bahia","Produção (Toneladas)","3447101"
"maio 2012","Minas Gerais","Área colhida (Hectares)","1020462"
"maio 2012","Minas Gerais","Produção (Toneladas)","3052313"
"maio 2012","Espírito Santo","Área colhida (Hectares)","-"
"maio 2012","Espírito Santo","Produção (Toneladas)","-"
"maio 2012","Rio de Janeiro","Área colhida (Hectares)","-"
"maio 2012","Rio de Janeiro","Produção (Toneladas)","-"
"maio 2012","São Paulo","Área colhida (Hectares)","484483"
"maio 2012","São Paulo","Produção (Toneladas)","1353139"
"maio 2012","Paraná","Área colhida (Hectares)","4460003"
"maio 2012","Paraná","Produção (Toneladas)","10891349"
"maio 2012","Santa Catarina","Área colhida (Hectares)","450731"
"maio 2012","Santa Catarina","Produção (Toneladas)","1125452"
"maio 2012","Rio Grande do Sul","Área colhida (Hectares)","4145975"
"maio 2012","Rio Grande do Sul","Produção (Toneladas)","5991094"
"maio 2012","Mato Grosso do Sul","Área colhida (Hectares)","1812968"
"maio 2012","Mato Grosso do Sul","Produção (Toneladas)","4623068"
"maio 2012","Mato Grosso","Área colhida (Hectares)","6972598"
"maio 2012","Mato Grosso","Produção (Toneladas)","21806797"
"maio 2012","Goiás","Área colhida (Hectares)","2674039"
"maio 2012","Goiás","Produção (Toneladas)","8248068"
"maio 2012","Distrito Federal","Área colhida (Hectares)","55000"
"maio 2012","Distrito Federal","Produção (Toneladas)","176000"
"junho 2012","Rondônia","Área colhida (Hectares)","142549"
"junho 2012","Rondônia","Produção (Toneladas)","459196"
"junho 2012","Acre","Área colhida (Hectares)","-"
"junho 2012","Acre","Produção (Toneladas)","-"
"junho 2012","Amazonas","Área colhida (Hectares)","-"
"junho 2012","Amazonas","Produção (Toneladas)","-"
"junho 2012","Roraima","Área colhida (Hectares)","-"
"junho 2012","Roraima","Produção (Toneladas)","-"
"junho 2012","Pará","Área colhida (Hectares)","119140"
"junho 2012","Pará","Produção (Toneladas)","356789"
"junho 2012","Amapá","Área colhida (Hectares)","-"
"junho 2012","Amapá","Produção (Toneladas)","-"
"junho 2012","Tocantins","Área colhida (Hectares)","406600"
"junho 2012","Tocantins","Produção (Toneladas)","1243680"
"junho 2012","Maranhão","Área colhida (Hectares)","556376"
"junho 2012","Maranhão","Produção (Toneladas)","1652163"
"junho 2012","Piauí","Área colhida (Hectares)","444756"
"junho 2012","Piauí","Produção (Toneladas)","1242484"
"junho 2012","Ceará","Área colhida (Hectares)","-"
"junho 2012","Ceará","Produção (Toneladas)","-"
"junho 2012","Rio Grande do Norte","Área colhida (Hectares)","-"
"junho 2012","Rio Grande do Norte","Produção (Toneladas)","-"
"junho 2012","Paraíba","Área colhida (Hectares)","-"
"junho 2012","Paraíba","Produção (Toneladas)","-"
"junho 2012","Pernambuco","Área colhida (Hectares)","-"
"junho 2012","Pernambuco","Produção (Toneladas)","-"
"junho 2012","Alagoas","Área colhida (Hectares)","-"
"junho 2012","Alagoas","Produção (Toneladas)","-"
"junho 2012","Sergipe","Área colhida (Hectares)","-"
"junho 2012","Sergipe","Produção (Toneladas)","-"
"junho 2012","Bahia","Área colhida (Hectares)","1113685"
"junho 2012","Bahia","Produção (Toneladas)","3447101"
"junho 2012","Minas Gerais","Área colhida (Hectares)","1020771"
"junho 2012","Minas Gerais","Produção (Toneladas)","3055410"
"junho 2012","Espírito Santo","Área colhida (Hectares)","-"
"junho 2012","Espírito Santo","Produção (Toneladas)","-"
"junho 2012","Rio de Janeiro","Área colhida (Hectares)","-"
"junho 2012","Rio de Janeiro","Produção (Toneladas)","-"
"junho 2012","São Paulo","Área colhida (Hectares)","531680"
"junho 2012","São Paulo","Produção (Toneladas)","1500933"
"junho 2012","Paraná","Área colhida (Hectares)","4460003"
"junho 2012","Paraná","Produção (Toneladas)","10891349"
"junho 2012","Santa Catarina","Área colhida (Hectares)","451449"
"junho 2012","Santa Catarina","Produção (Toneladas)","1079690"
"junho 2012","Rio Grande do Sul","Área colhida (Hectares)","4145975"
"junho 2012","Rio Grande do Sul","Produção (Toneladas)","5991094"
"junho 2012","Mato Grosso do Sul","Área colhida (Hectares)","1812968"
"junho 2012","Mato Grosso do Sul","Produção (Toneladas)","4571799"
"junho 2012","Mato Grosso","Área colhida (Hectares)","6957568"
"junho 2012","Mato Grosso","Produção (Toneladas)","21806797"
"junho 2012","Goiás","Área colhida (Hectares)","2676205"
"junho 2012","Goiás","Produção (Toneladas)","8256010"
"junho 2012","Distrito Federal","Área colhida (Hectares)","55050"
"junho 2012","Distrito Federal","Produção (Toneladas)","176160"
"julho 2012","Rondônia","Área colhida (Hectares)","144064"
"julho 2012","Rondônia","Produção (Toneladas)","463654"
"julho 2012","Acre","Área colhida (Hectares)","-"
"julho 2012","Acre","Produção (Toneladas)","-"
"julho 2012","Amazonas","Área colhida (Hectares)","-"
"julho 2012","Amazonas","Produção (Toneladas)","-"
"julho 2012","Roraima","Área colhida (Hectares)","-"
"julho 2012","Roraima","Produção (Toneladas)","-"
"julho 2012","Pará","Área colhida (Hectares)","119202"
"julho 2012","Pará","Produção (Toneladas)","356789"
"julho 2012","Amapá","Área colhida (Hectares)","-"
"julho 2012","Amapá","Produção (Toneladas)","-"
"julho 2012","Tocantins","Área colhida (Hectares)","406600"
"julho 2012","Tocantins","Produção (Toneladas)","1243680"
"julho 2012","Maranhão","Área colhida (Hectares)","556376"
"julho 2012","Maranhão","Produção (Toneladas)","1644305"
"julho 2012","Piauí","Área colhida (Hectares)","444756"
"julho 2012","Piauí","Produção (Toneladas)","1242484"
"julho 2012","Ceará","Área colhida (Hectares)","-"
"julho 2012","Ceará","Produção (Toneladas)","-"
"julho 2012","Rio Grande do Norte","Área colhida (Hectares)","-"
"julho 2012","Rio Grande do Norte","Produção (Toneladas)","-"
"julho 2012","Paraíba","Área colhida (Hectares)","-"
"julho 2012","Paraíba","Produção (Toneladas)","-"
"julho 2012","Pernambuco","Área colhida (Hectares)","-"
"julho 2012","Pernambuco","Produção (Toneladas)","-"
"julho 2012","Alagoas","Área colhida (Hectares)","-"
"julho 2012","Alagoas","Produção (Toneladas)","-"
"julho 2012","Sergipe","Área colhida (Hectares)","-"
"julho 2012","Sergipe","Produção (Toneladas)","-"
"julho 2012","Bahia","Área colhida (Hectares)","1113685"
"julho 2012","Bahia","Produção (Toneladas)","3447101"
"julho 2012","Minas Gerais","Área colhida (Hectares)","1020771"
"julho 2012","Minas Gerais","Produção (Toneladas)","3047010"
"julho 2012","Espírito Santo","Área colhida (Hectares)","-"
"julho 2012","Espírito Santo","Produção (Toneladas)","-"
"julho 2012","Rio de Janeiro","Área colhida (Hectares)","-"
"julho 2012","Rio de Janeiro","Produção (Toneladas)","-"
"julho 2012","São Paulo","Área colhida (Hectares)","531680"
"julho 2012","São Paulo","Produção (Toneladas)","1500933"
"julho 2012","Paraná","Área colhida (Hectares)","4460003"
"julho 2012","Paraná","Produção (Toneladas)","10891349"
"julho 2012","Santa Catarina","Área colhida (Hectares)","451449"
"julho 2012","Santa Catarina","Produção (Toneladas)","1079690"
"julho 2012","Rio Grande do Sul","Área colhida (Hectares)","4145975"
"julho 2012","Rio Grande do Sul","Produção (Toneladas)","5991094"
"julho 2012","Mato Grosso do Sul","Área colhida (Hectares)","1812968"
"julho 2012","Mato Grosso do Sul","Produção (Toneladas)","4571799"
"julho 2012","Mato Grosso","Área colhida (Hectares)","6980627"
"julho 2012","Mato Grosso","Produção (Toneladas)","21848885"
"julho 2012","Goiás","Área colhida (Hectares)","2685534"
"julho 2012","Goiás","Produção (Toneladas)","8318062"
"julho 2012","Distrito Federal","Área colhida (Hectares)","55050"
"julho 2012","Distrito Federal","Produção (Toneladas)","176160"
"agosto 2012","Rondônia","Área colhida (Hectares)","144064"
"agosto 2012","Rondônia","Produção (Toneladas)","463654"
"agosto 2012","Acre","Área colhida (Hectares)","-"
"agosto 2012","Acre","Produção (Toneladas)","-"
"agosto 2012","Amazonas","Área colhida (Hectares)","-"
"agosto 2012","Amazonas","Produção (Toneladas)","-"
"agosto 2012","Roraima","Área colhida (Hectares)","-"
"agosto 2012","Roraima","Produção (Toneladas)","-"
"agosto 2012","Pará","Área colhida (Hectares)","119202"
"agosto 2012","Pará","Produção (Toneladas)","376179"
"agosto 2012","Amapá","Área colhida (Hectares)","-"
"agosto 2012","Amapá","Produção (Toneladas)","-"
"agosto 2012","Tocantins","Área colhida (Hectares)","406600"
"agosto 2012","Tocantins","Produção (Toneladas)","1243680"
"agosto 2012","Maranhão","Área colhida (Hectares)","556178"
"agosto 2012","Maranhão","Produção (Toneladas)","1640183"
"agosto 2012","Piauí","Área colhida (Hectares)","444756"
"agosto 2012","Piauí","Produção (Toneladas)","1242484"
"agosto 2012","Ceará","Área colhida (Hectares)","-"
"agosto 2012","Ceará","Produção (Toneladas)","-"
"agosto 2012","Rio Grande do Norte","Área colhida (Hectares)","-"
"agosto 2012","Rio Grande do Norte","Produção (Toneladas)","-"
"agosto 2012","Paraíba","Área colhida (Hectares)","-"
"agosto 2012","Paraíba","Produção (Toneladas)","-"
"agosto 2012","Pernambuco","Área colhida (Hectares)","-"
"agosto 2012","Pernambuco","Produção (Toneladas)","-"
"agosto 2012","Alagoas","Área colhida (Hectares)","-"
"agosto 2012","Alagoas","Produção (Toneladas)","-"
"agosto 2012","Sergipe","Área colhida (Hectares)","-"
"agosto 2012","Sergipe","Produção (Toneladas)","-"
"agosto 2012","Bahia","Área colhida (Hectares)","1113685"
"agosto 2012","Bahia","Produção (Toneladas)","3447101"
"agosto 2012","Minas Gerais","Área colhida (Hectares)","1020771"
"agosto 2012","Minas Gerais","Produção (Toneladas)","3053220"
"agosto 2012","Espírito Santo","Área colhida (Hectares)","-"
"agosto 2012","Espírito Santo","Produção (Toneladas)","-"
"agosto 2012","Rio de Janeiro","Área colhida (Hectares)","-"
"agosto 2012","Rio de Janeiro","Produção (Toneladas)","-"
"agosto 2012","São Paulo","Área colhida (Hectares)","531680"
"agosto 2012","São Paulo","Produção (Toneladas)","1500933"
"agosto 2012","Paraná","Área colhida (Hectares)","4460419"
"agosto 2012","Paraná","Produção (Toneladas)","10939387"
"agosto 2012","Santa Catarina","Área colhida (Hectares)","451449"
"agosto 2012","Santa Catarina","Produção (Toneladas)","1079690"
"agosto 2012","Rio Grande do Sul","Área colhida (Hectares)","4145975"
"agosto 2012","Rio Grande do Sul","Produção (Toneladas)","5991094"
"agosto 2012","Mato Grosso do Sul","Área colhida (Hectares)","1812968"
"agosto 2012","Mato Grosso do Sul","Produção (Toneladas)","4571799"
"agosto 2012","Mato Grosso","Área colhida (Hectares)","6980627"
"agosto 2012","Mato Grosso","Produção (Toneladas)","21848885"
"agosto 2012","Goiás","Área colhida (Hectares)","2709534"
"agosto 2012","Goiás","Produção (Toneladas)","8399462"
"agosto 2012","Distrito Federal","Área colhida (Hectares)","55050"
"agosto 2012","Distrito Federal","Produção (Toneladas)","176160"
"setembro 2012","Rondônia","Área colhida (Hectares)","144064"
"setembro 2012","Rondônia","Produção (Toneladas)","463654"
"setembro 2012","Acre","Área colhida (Hectares)","-"
"setembro 2012","Acre","Produção (Toneladas)","-"
"setembro 2012","Amazonas","Área colhida (Hectares)","-"
"setembro 2012","Amazonas","Produção (Toneladas)","-"
"setembro 2012","Roraima","Área colhida (Hectares)","-"
"setembro 2012","Roraima","Produção (Toneladas)","-"
"setembro 2012","Pará","Área colhida (Hectares)","121702"
"setembro 2012","Pará","Produção (Toneladas)","381804"
"setembro 2012","Amapá","Área colhida (Hectares)","-"
"setembro 2012","Amapá","Produção (Toneladas)","-"
"setembro 2012","Tocantins","Área colhida (Hectares)","406600"
"setembro 2012","Tocantins","Produção (Toneladas)","1243680"
"setembro 2012","Maranhão","Área colhida (Hectares)","556178"
"setembro 2012","Maranhão","Produção (Toneladas)","1640183"
"setembro 2012","Piauí","Área colhida (Hectares)","444756"
"setembro 2012","Piauí","Produção (Toneladas)","1242484"
"setembro 2012","Ceará","Área colhida (Hectares)","-"
"setembro 2012","Ceará","Produção (Toneladas)","-"
"setembro 2012","Rio Grande do Norte","Área colhida (Hectares)","-"
"setembro 2012","Rio Grande do Norte","Produção (Toneladas)","-"
"setembro 2012","Paraíba","Área colhida (Hectares)","-"
"setembro 2012","Paraíba","Produção (Toneladas)","-"
"setembro 2012","Pernambuco","Área colhida (Hectares)","-"
"setembro 2012","Pernambuco","Produção (Toneladas)","-"
"setembro 2012","Alagoas","Área colhida (Hectares)","-"
"setembro 2012","Alagoas","Produção (Toneladas)","-"
"setembro 2012","Sergipe","Área colhida (Hectares)","-"
"setembro 2012","Sergipe","Produção (Toneladas)","-"
"setembro 2012","Bahia","Área colhida (Hectares)","1112467"
"setembro 2012","Bahia","Produção (Toneladas)","3214169"
"setembro 2012","Minas Gerais","Área colhida (Hectares)","1021021"
"setembro 2012","Minas Gerais","Produção (Toneladas)","3053920"
"setembro 2012","Espírito Santo","Área colhida (Hectares)","-"
"setembro 2012","Espírito Santo","Produção (Toneladas)","-"
"setembro 2012","Rio de Janeiro","Área colhida (Hectares)","-"
"setembro 2012","Rio de Janeiro","Produção (Toneladas)","-"
"setembro 2012","São Paulo","Área colhida (Hectares)","532668"
"setembro 2012","São Paulo","Produção (Toneladas)","1471668"
"setembro 2012","Paraná","Área colhida (Hectares)","4460419"
"setembro 2012","Paraná","Produção (Toneladas)","10939387"
"setembro 2012","Santa Catarina","Área colhida (Hectares)","451449"
"setembro 2012","Santa Catarina","Produção (Toneladas)","1079690"
"setembro 2012","Rio Grande do Sul","Área colhida (Hectares)","4156095"
"setembro 2012","Rio Grande do Sul","Produção (Toneladas)","5929078"
"setembro 2012","Mato Grosso do Sul","Área colhida (Hectares)","1812968"
"setembro 2012","Mato Grosso do Sul","Produção (Toneladas)","4571799"
"setembro 2012","Mato Grosso","Área colhida (Hectares)","6980690"
"setembro 2012","Mato Grosso","Produção (Toneladas)","21840973"
"setembro 2012","Goiás","Área colhida (Hectares)","2622463"
"setembro 2012","Goiás","Produção (Toneladas)","8135605"
"setembro 2012","Distrito Federal","Área colhida (Hectares)","55050"
"setembro 2012","Distrito Federal","Produção (Toneladas)","176160"
"outubro 2012","Rondônia","Área colhida (Hectares)","144064"
"outubro 2012","Rondônia","Produção (Toneladas)","463654"
"outubro 2012","Acre","Área colhida (Hectares)","-"
"outubro 2012","Acre","Produção (Toneladas)","-"
"outubro 2012","Amazonas","Área colhida (Hectares)","-"
"outubro 2012","Amazonas","Produção (Toneladas)","-"
"outubro 2012","Roraima","Área colhida (Hectares)","-"
"outubro 2012","Roraima","Produção (Toneladas)","-"
"outubro 2012","Pará","Área colhida (Hectares)","118686"
"outubro 2012","Pará","Produção (Toneladas)","370398"
"outubro 2012","Amapá","Área colhida (Hectares)","-"
"outubro 2012","Amapá","Produção (Toneladas)","-"
"outubro 2012","Tocantins","Área colhida (Hectares)","422793"
"outubro 2012","Tocantins","Produção (Toneladas)","1286280"
"outubro 2012","Maranhão","Área colhida (Hectares)","556178"
"outubro 2012","Maranhão","Produção (Toneladas)","1640183"
"outubro 2012","Piauí","Área colhida (Hectares)","444756"
"outubro 2012","Piauí","Produção (Toneladas)","1242484"
"outubro 2012","Ceará","Área colhida (Hectares)","-"
"outubro 2012","Ceará","Produção (Toneladas)","-"
"outubro 2012","Rio Grande do Norte","Área colhida (Hectares)","-"
"outubro 2012","Rio Grande do Norte","Produção (Toneladas)","-"
"outubro 2012","Paraíba","Área colhida (Hectares)","-"
"outubro 2012","Paraíba","Produção (Toneladas)","-"
"outubro 2012","Pernambuco","Área colhida (Hectares)","-"
"outubro 2012","Pernambuco","Produção (Toneladas)","-"
"outubro 2012","Alagoas","Área colhida (Hectares)","-"
"outubro 2012","Alagoas","Produção (Toneladas)","-"
"outubro 2012","Sergipe","Área colhida (Hectares)","-"
"outubro 2012","Sergipe","Produção (Toneladas)","-"
"outubro 2012","Bahia","Área colhida (Hectares)","1112467"
"outubro 2012","Bahia","Produção (Toneladas)","3214169"
"outubro 2012","Minas Gerais","Área colhida (Hectares)","1027731"
"outubro 2012","Minas Gerais","Produção (Toneladas)","3071512"
"outubro 2012","Espírito Santo","Área colhida (Hectares)","-"
"outubro 2012","Espírito Santo","Produção (Toneladas)","-"
"outubro 2012","Rio de Janeiro","Área colhida (Hectares)","-"
"outubro 2012","Rio de Janeiro","Produção (Toneladas)","-"
"outubro 2012","São Paulo","Área colhida (Hectares)","532668"
"outubro 2012","São Paulo","Produção (Toneladas)","1471668"
"outubro 2012","Paraná","Área colhida (Hectares)","4460419"
"outubro 2012","Paraná","Produção (Toneladas)","10939387"
"outubro 2012","Santa Catarina","Área colhida (Hectares)","451449"
"outubro 2012","Santa Catarina","Produção (Toneladas)","1077920"
"outubro 2012","Rio Grande do Sul","Área colhida (Hectares)","4156095"
"outubro 2012","Rio Grande do Sul","Produção (Toneladas)","5929078"
"outubro 2012","Mato Grosso do Sul","Área colhida (Hectares)","1812968"
"outubro 2012","Mato Grosso do Sul","Produção (Toneladas)","4571799"
"outubro 2012","Mato Grosso","Área colhida (Hectares)","6980690"
"outubro 2012","Mato Grosso","Produção (Toneladas)","21840973"
"outubro 2012","Goiás","Área colhida (Hectares)","2646360"
"outubro 2012","Goiás","Produção (Toneladas)","8305910"
"outubro 2012","Distrito Federal","Área colhida (Hectares)","55050"
"outubro 2012","Distrito Federal","Produção (Toneladas)","176160"
"novembro 2012","Rondônia","Área colhida (Hectares)","144064"
"novembro 2012","Rondônia","Produção (Toneladas)","463654"
"novembro 2012","Acre","Área colhida (Hectares)","-"
"novembro 2012","Acre","Produção (Toneladas)","-"
"novembro 2012","Amazonas","Área colhida (Hectares)","-"
"novembro 2012","Amazonas","Produção (Toneladas)","-"
"novembro 2012","Roraima","Área colhida (Hectares)","-"
"novembro 2012","Roraima","Produção (Toneladas)","-"
"novembro 2012","Pará","Área colhida (Hectares)","118686"
"novembro 2012","Pará","Produção (Toneladas)","370398"
"novembro 2012","Amapá","Área colhida (Hectares)","-"
"novembro 2012","Amapá","Produção (Toneladas)","-"
"novembro 2012","Tocantins","Área colhida (Hectares)","422793"
"novembro 2012","Tocantins","Produção (Toneladas)","1286280"
"novembro 2012","Maranhão","Área colhida (Hectares)","556178"
"novembro 2012","Maranhão","Produção (Toneladas)","1640183"
"novembro 2012","Piauí","Área colhida (Hectares)","444856"
"novembro 2012","Piauí","Produção (Toneladas)","1242574"
"novembro 2012","Ceará","Área colhida (Hectares)","-"
"novembro 2012","Ceará","Produção (Toneladas)","-"
"novembro 2012","Rio Grande do Norte","Área colhida (Hectares)","-"
"novembro 2012","Rio Grande do Norte","Produção (Toneladas)","-"
"novembro 2012","Paraíba","Área colhida (Hectares)","-"
"novembro 2012","Paraíba","Produção (Toneladas)","-"
"novembro 2012","Pernambuco","Área colhida (Hectares)","-"
"novembro 2012","Pernambuco","Produção (Toneladas)","-"
"novembro 2012","Alagoas","Área colhida (Hectares)","-"
"novembro 2012","Alagoas","Produção (Toneladas)","-"
"novembro 2012","Sergipe","Área colhida (Hectares)","-"
"novembro 2012","Sergipe","Produção (Toneladas)","-"
"novembro 2012","Bahia","Área colhida (Hectares)","1112467"
"novembro 2012","Bahia","Produção (Toneladas)","3214169"
"novembro 2012","Minas Gerais","Área colhida (Hectares)","1027791"
"novembro 2012","Minas Gerais","Produção (Toneladas)","3071722"
"novembro 2012","Espírito Santo","Área colhida (Hectares)","-"
"novembro 2012","Espírito Santo","Produção (Toneladas)","-"
"novembro 2012","Rio de Janeiro","Área colhida (Hectares)","-"
"novembro 2012","Rio de Janeiro","Produção (Toneladas)","-"
"novembro 2012","São Paulo","Área colhida (Hectares)","532668"
"novembro 2012","São Paulo","Produção (Toneladas)","1471668"
"novembro 2012","Paraná","Área colhida (Hectares)","4460419"
"novembro 2012","Paraná","Produção (Toneladas)","10939387"
"novembro 2012","Santa Catarina","Área colhida (Hectares)","451449"
"novembro 2012","Santa Catarina","Produção (Toneladas)","1077920"
"novembro 2012","Rio Grande do Sul","Área colhida (Hectares)","4156095"
"novembro 2012","Rio Grande do Sul","Produção (Toneladas)","5929078"
"novembro 2012","Mato Grosso do Sul","Área colhida (Hectares)","1812968"
"novembro 2012","Mato Grosso do Sul","Produção (Toneladas)","4571799"
"novembro 2012","Mato Grosso","Área colhida (Hectares)","6980690"
"novembro 2012","Mato Grosso","Produção (Toneladas)","21840973"
"novembro 2012","Goiás","Área colhida (Hectares)","2635763"
"novembro 2012","Goiás","Produção (Toneladas)","8287678"
"novembro 2012","Distrito Federal","Área colhida (Hectares)","55050"
"novembro 2012","Distrito Federal","Produção (Toneladas)","176160"
"dezembro 2012","Rondônia","Área colhida (Hectares)","145424"
"dezembro 2012","Rondônia","Produção (Toneladas)","468391"
"dezembro 2012","Acre","Área colhida (Hectares)","-"
"dezembro 2012","Acre","Produção (Toneladas)","-"
"dezembro 2012","Amazonas","Área colhida (Hectares)","-"
"dezembro 2012","Amazonas","Produção (Toneladas)","-"
"dezembro 2012","Roraima","Área colhida (Hectares)","-"
"dezembro 2012","Roraima","Produção (Toneladas)","-"
"dezembro 2012","Pará","Área colhida (Hectares)","118686"
"dezembro 2012","Pará","Produção (Toneladas)","370398"
"dezembro 2012","Amapá","Área colhida (Hectares)","-"
"dezembro 2012","Amapá","Produção (Toneladas)","-"
"dezembro 2012","Tocantins","Área colhida (Hectares)","422793"
"dezembro 2012","Tocantins","Produção (Toneladas)","1286280"
"dezembro 2012","Maranhão","Área colhida (Hectares)","556178"
"dezembro 2012","Maranhão","Produção (Toneladas)","1640183"
"dezembro 2012","Piauí","Área colhida (Hectares)","444856"
"dezembro 2012","Piauí","Produção (Toneladas)","1242574"
"dezembro 2012","Ceará","Área colhida (Hectares)","-"
"dezembro 2012","Ceará","Produção (Toneladas)","-"
"dezembro 2012","Rio Grande do Norte","Área colhida (Hectares)","-"
"dezembro 2012","Rio Grande do Norte","Produção (Toneladas)","-"
"dezembro 2012","Paraíba","Área colhida (Hectares)","-"
"dezembro 2012","Paraíba","Produção (Toneladas)","-"
"dezembro 2012","Pernambuco","Área colhida (Hectares)","-"
"dezembro 2012","Pernambuco","Produção (Toneladas)","-"
"dezembro 2012","Alagoas","Área colhida (Hectares)","-"
"dezembro 2012","Alagoas","Produção (Toneladas)","-"
"dezembro 2012","Sergipe","Área colhida (Hectares)","-"
"dezembro 2012","Sergipe","Produção (Toneladas)","-"
"dezembro 2012","Bahia","Área colhida (Hectares)","1112627"
"dezembro 2012","Bahia","Produção (Toneladas)","3212789"
"dezembro 2012","Minas Gerais","Área colhida (Hectares)","1028341"
"dezembro 2012","Minas Gerais","Produção (Toneladas)","3073499"
"dezembro 2012","Espírito Santo","Área colhida (Hectares)","-"
"dezembro 2012","Espírito Santo","Produção (Toneladas)","-"
"dezembro 2012","Rio de Janeiro","Área colhida (Hectares)","-"
"dezembro 2012","Rio de Janeiro","Produção (Toneladas)","-"
"dezembro 2012","São Paulo","Área colhida (Hectares)","532668"
"dezembro 2012","São Paulo","Produção (Toneladas)","1471668"
"dezembro 2012","Paraná","Área colhida (Hectares)","4460419"
"dezembro 2012","Paraná","Produção (Toneladas)","10939387"
"dezembro 2012","Santa Catarina","Área colhida (Hectares)","451449"
"dezembro 2012","Santa Catarina","Produção (Toneladas)","1079690"
"dezembro 2012","Rio Grande do Sul","Área colhida (Hectares)","4156095"
"dezembro 2012","Rio Grande do Sul","Produção (Toneladas)","5945243"
"dezembro 2012","Mato Grosso do Sul","Área colhida (Hectares)","1812968"
"dezembro 2012","Mato Grosso do Sul","Produção (Toneladas)","4594359"
"dezembro 2012","Mato Grosso","Área colhida (Hectares)","6980690"
"dezembro 2012","Mato Grosso","Produção (Toneladas)","21840973"
"dezembro 2012","Goiás","Área colhida (Hectares)","2659509"
"dezembro 2012","Goiás","Produção (Toneladas)","8364177"
"dezembro 2012","Distrito Federal","Área colhida (Hectares)","55050"
"dezembro 2012","Distrito Federal","Produção (Toneladas)","176160"
