"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","Brasil e Grande Região","Variável","Valor"
"janeiro 2013","Brasil","Produção (Toneladas)","82953874"
"janeiro 2013","Norte","Área colhida (Hectares)","690664"
"janeiro 2013","Norte","Produção (Toneladas)","2018400"
"janeiro 2013","Nordeste","Área colhida (Hectares)","2347851"
"janeiro 2013","Nordeste","Produção (Toneladas)","7306420"
"janeiro 2013","Sudeste","Área colhida (Hectares)","1720291"
"janeiro 2013","Sudeste","Produção (Toneladas)","5036782"
"janeiro 2013","Sul","Área colhida (Hectares)","9832554"
"janeiro 2013","Sul","Produção (Toneladas)","28901102"
"janeiro 2013","Centro-Oeste","Área colhida (Hectares)","12773932"
"janeiro 2013","Centro-Oeste","Produção (Toneladas)","39691170"
"fevereiro 2013","Brasil","Área colhida (Hectares)","27448835"
"fevereiro 2013","Brasil","Produção (Toneladas)","83288808"
"fevereiro 2013","Norte","Área colhida (Hectares)","690664"
"fevereiro 2013","Norte","Produção (Toneladas)","2018400"
"fevereiro 2013","Nordeste","Área colhida (Hectares)","2347734"
"fevereiro 2013","Nordeste","Produção (Toneladas)","7311973"
"fevereiro 2013","Sudeste","Área colhida (Hectares)","1735185"
"fevereiro 2013","Sudeste","Produção (Toneladas)","5205554"
"fevereiro 2013","Sul","Área colhida (Hectares)","9883976"
"fevereiro 2013","Sul","Produção (Toneladas)","29366442"
"fevereiro 2013","Centro-Oeste","Área colhida (Hectares)","12791276"
"fevereiro 2013","Centro-Oeste","Produção (Toneladas)","39386439"
"março 2013","Brasil","Área colhida (Hectares)","27547653"
"março 2013","Brasil","Produção (Toneladas)","80927337"
"março 2013","Norte","Área colhida (Hectares)","767401"
"março 2013","Norte","Produção (Toneladas)","2293682"
"março 2013","Nordeste","Área colhida (Hectares)","2325878"
"março 2013","Nordeste","Produção (Toneladas)","5374051"
"março 2013","Sudeste","Área colhida (Hectares)","1732735"
"março 2013","Sudeste","Produção (Toneladas)","5183192"
"março 2013","Sul","Área colhida (Hectares)","9898664"
"março 2013","Sul","Produção (Toneladas)","29383567"
"março 2013","Centro-Oeste","Área colhida (Hectares)","12822975"
"março 2013","Centro-Oeste","Produção (Toneladas)","38692845"
"abril 2013","Brasil","Área colhida (Hectares)","27577829"
"abril 2013","Brasil","Produção (Toneladas)","80996922"
"abril 2013","Norte","Área colhida (Hectares)","744441"
"abril 2013","Norte","Produção (Toneladas)","2217542"
"abril 2013","Nordeste","Área colhida (Hectares)","2325798"
"abril 2013","Nordeste","Produção (Toneladas)","5278064"
"abril 2013","Sudeste","Área colhida (Hectares)","1733455"
"abril 2013","Sudeste","Produção (Toneladas)","5187611"
"abril 2013","Sul","Área colhida (Hectares)","9939703"
"abril 2013","Sul","Produção (Toneladas)","29658661"
"abril 2013","Centro-Oeste","Área colhida (Hectares)","12834432"
"abril 2013","Centro-Oeste","Produção (Toneladas)","38655044"
"maio 2013","Brasil","Área colhida (Hectares)","27658203"
"maio 2013","Brasil","Produção (Toneladas)","81114862"
"maio 2013","Norte","Área colhida (Hectares)","747503"
"maio 2013","Norte","Produção (Toneladas)","2232119"
"maio 2013","Nordeste","Área colhida (Hectares)","2316065"
"maio 2013","Nordeste","Produção (Toneladas)","5354985"
"maio 2013","Sudeste","Área colhida (Hectares)","1736240"
"maio 2013","Sudeste","Produção (Toneladas)","5146632"
"maio 2013","Sul","Área colhida (Hectares)","9991795"
"maio 2013","Sul","Produção (Toneladas)","30236126"
"maio 2013","Centro-Oeste","Área colhida (Hectares)","12866600"
"maio 2013","Centro-Oeste","Produção (Toneladas)","38145000"
"junho 2013","Brasil","Área colhida (Hectares)","27713246"
"junho 2013","Brasil","Produção (Toneladas)","81333792"
"junho 2013","Norte","Área colhida (Hectares)","771774"
"junho 2013","Norte","Produção (Toneladas)","2311872"
"junho 2013","Nordeste","Área colhida (Hectares)","2316165"
"junho 2013","Nordeste","Produção (Toneladas)","5307471"
"junho 2013","Sudeste","Área colhida (Hectares)","1759890"
"junho 2013","Sudeste","Produção (Toneladas)","5271017"
"junho 2013","Sul","Área colhida (Hectares)","9998720"
"junho 2013","Sul","Produção (Toneladas)","30276974"
"junho 2013","Centro-Oeste","Área colhida (Hectares)","12866697"
"junho 2013","Centro-Oeste","Produção (Toneladas)","38166458"
"julho 2013","Brasil","Área colhida (Hectares)","27718552"
"julho 2013","Brasil","Produção (Toneladas)","81300690"
"julho 2013","Norte","Área colhida (Hectares)","750284"
"julho 2013","Norte","Produção (Toneladas)","2241042"
"julho 2013","Nordeste","Área colhida (Hectares)","2319225"
"julho 2013","Nordeste","Produção (Toneladas)","5311991"
"julho 2013","Sudeste","Área colhida (Hectares)","1759890"
"julho 2013","Sudeste","Produção (Toneladas)","5271017"
"julho 2013","Sul","Área colhida (Hectares)","10004630"
"julho 2013","Sul","Produção (Toneladas)","30265058"
"julho 2013","Centro-Oeste","Área colhida (Hectares)","12884523"
"julho 2013","Centro-Oeste","Produção (Toneladas)","38211582"
"agosto 2013","Brasil","Área colhida (Hectares)","27721101"
"agosto 2013","Brasil","Produção (Toneladas)","81312070"
"agosto 2013","Norte","Área colhida (Hectares)","750303"
"agosto 2013","Norte","Produção (Toneladas)","2241105"
"agosto 2013","Nordeste","Área colhida (Hectares)","2319205"
"agosto 2013","Nordeste","Produção (Toneladas)","5307713"
"agosto 2013","Sudeste","Área colhida (Hectares)","1760690"
"agosto 2013","Sudeste","Produção (Toneladas)","5274117"
"agosto 2013","Sul","Área colhida (Hectares)","10004630"
"agosto 2013","Sul","Produção (Toneladas)","30265058"
"agosto 2013","Centro-Oeste","Área colhida (Hectares)","12886273"
"agosto 2013","Centro-Oeste","Produção (Toneladas)","38224077"
"setembro 2013","Brasil","Área colhida (Hectares)","27727762"
"setembro 2013","Brasil","Produção (Toneladas)","81352964"
"setembro 2013","Norte","Área colhida (Hectares)","750303"
"setembro 2013","Norte","Produção (Toneladas)","2241105"
"setembro 2013","Nordeste","Área colhida (Hectares)","2319205"
"setembro 2013","Nordeste","Produção (Toneladas)","5307713"
"setembro 2013","Sudeste","Área colhida (Hectares)","1765590"
"setembro 2013","Sudeste","Produção (Toneladas)","5308287"
"setembro 2013","Sul","Área colhida (Hectares)","10004630"
"setembro 2013","Sul","Produção (Toneladas)","30265058"
"setembro 2013","Centro-Oeste","Área colhida (Hectares)","12888034"
"setembro 2013","Centro-Oeste","Produção (Toneladas)","38230801"
"outubro 2013","Brasil","Área colhida (Hectares)","27731072"
"outubro 2013","Brasil","Produção (Toneladas)","81364313"
"outubro 2013","Norte","Área colhida (Hectares)","751703"
"outubro 2013","Norte","Produção (Toneladas)","2245689"
"outubro 2013","Nordeste","Área colhida (Hectares)","2319205"
"outubro 2013","Nordeste","Produção (Toneladas)","5307713"
"outubro 2013","Sudeste","Área colhida (Hectares)","1765790"
"outubro 2013","Sudeste","Produção (Toneladas)","5308987"
"outubro 2013","Sul","Área colhida (Hectares)","10004630"
"outubro 2013","Sul","Produção (Toneladas)","30265058"
"outubro 2013","Centro-Oeste","Área colhida (Hectares)","12889744"
"outubro 2013","Centro-Oeste","Produção (Toneladas)","38236866"
"novembro 2013","Brasil","Área colhida (Hectares)","27723284"
"novembro 2013","Brasil","Produção (Toneladas)","81338487"
"novembro 2013","Norte","Área colhida (Hectares)","751703"
"novembro 2013","Norte","Produção (Toneladas)","2245689"
"novembro 2013","Nordeste","Área colhida (Hectares)","2311417"
"novembro 2013","Nordeste","Produção (Toneladas)","5281984"
"novembro 2013","Sudeste","Área colhida (Hectares)","1765790"
"novembro 2013","Sudeste","Produção (Toneladas)","5308890"
"novembro 2013","Sul","Área colhida (Hectares)","10004630"
"novembro 2013","Sul","Produção (Toneladas)","30265058"
"novembro 2013","Centro-Oeste","Área colhida (Hectares)","12889744"
"novembro 2013","Centro-Oeste","Produção (Toneladas)","38236866"
"dezembro 2013","Brasil","Área colhida (Hectares)","27864915"
"dezembro 2013","Brasil","Produção (Toneladas)","81699787"
"dezembro 2013","Norte","Área colhida (Hectares)","892213"
"dezembro 2013","Norte","Produção (Toneladas)","2605828"
"dezembro 2013","Nordeste","Área colhida (Hectares)","2307747"
"dezembro 2013","Nordeste","Produção (Toneladas)","5268170"
"dezembro 2013","Sudeste","Área colhida (Hectares)","1765850"
"dezembro 2013","Sudeste","Produção (Toneladas)","5309070"
"dezembro 2013","Sul","Área colhida (Hectares)","10004580"
"dezembro 2013","Sul","Produção (Toneladas)","30264407"
"dezembro 2013","Centro-Oeste","Área colhida (Hectares)","12894525"
"dezembro 2013","Centro-Oeste","Produção (Toneladas)","38252312"
"janeiro 2014","Brasil","Área colhida (Hectares)","29635430"
"janeiro 2014","Brasil","Produção (Toneladas)","91283222"
"janeiro 2014","Norte","Área colhida (Hectares)","957632"
"janeiro 2014","Norte","Produção (Toneladas)","2896886"
"janeiro 2014","Nordeste","Área colhida (Hectares)","2488746"
"janeiro 2014","Nordeste","Produção (Toneladas)","7319317"
"janeiro 2014","Sudeste","Área colhida (Hectares)","1910752"
"janeiro 2014","Sudeste","Produção (Toneladas)","5729973"
"janeiro 2014","Sul","Área colhida (Hectares)","10523502"
"janeiro 2014","Sul","Produção (Toneladas)","32404412"
"janeiro 2014","Centro-Oeste","Área colhida (Hectares)","13754798"
"janeiro 2014","Centro-Oeste","Produção (Toneladas)","42932634"
"fevereiro 2014","Brasil","Área colhida (Hectares)","29636442"
"fevereiro 2014","Brasil","Produção (Toneladas)","88442511"
"fevereiro 2014","Norte","Área colhida (Hectares)","956178"
"fevereiro 2014","Norte","Produção (Toneladas)","2893850"
"fevereiro 2014","Nordeste","Área colhida (Hectares)","2490231"
"fevereiro 2014","Nordeste","Produção (Toneladas)","7320672"
"fevereiro 2014","Sudeste","Área colhida (Hectares)","1905778"
"fevereiro 2014","Sudeste","Produção (Toneladas)","5261837"
"fevereiro 2014","Sul","Área colhida (Hectares)","10514725"
"fevereiro 2014","Sul","Produção (Toneladas)","30305416"
"fevereiro 2014","Centro-Oeste","Área colhida (Hectares)","13769530"
"fevereiro 2014","Centro-Oeste","Produção (Toneladas)","42660736"
"março 2014","Brasil","Área colhida (Hectares)","29955410"
"março 2014","Brasil","Produção (Toneladas)","86769230"
"março 2014","Norte","Área colhida (Hectares)","956178"
"março 2014","Norte","Produção (Toneladas)","2893850"
"março 2014","Nordeste","Área colhida (Hectares)","2581493"
"março 2014","Nordeste","Produção (Toneladas)","7589865"
"março 2014","Sudeste","Área colhida (Hectares)","1931400"
"março 2014","Sudeste","Produção (Toneladas)","4881173"
"março 2014","Sul","Área colhida (Hectares)","10558634"
"março 2014","Sul","Produção (Toneladas)","29828154"
"março 2014","Centro-Oeste","Área colhida (Hectares)","13927705"
"março 2014","Centro-Oeste","Produção (Toneladas)","41576188"
"abril 2014","Brasil","Área colhida (Hectares)","29985320"
"abril 2014","Brasil","Produção (Toneladas)","86887561"
"abril 2014","Norte","Área colhida (Hectares)","962828"
"abril 2014","Norte","Produção (Toneladas)","2922177"
"abril 2014","Nordeste","Área colhida (Hectares)","2585498"
"abril 2014","Nordeste","Produção (Toneladas)","7602121"
"abril 2014","Sudeste","Área colhida (Hectares)","1929775"
"abril 2014","Sudeste","Produção (Toneladas)","4888717"
"abril 2014","Sul","Área colhida (Hectares)","10564587"
"abril 2014","Sul","Produção (Toneladas)","29714582"
"abril 2014","Centro-Oeste","Área colhida (Hectares)","13942632"
"abril 2014","Centro-Oeste","Produção (Toneladas)","41759964"
"maio 2014","Brasil","Área colhida (Hectares)","30123923"
"maio 2014","Brasil","Produção (Toneladas)","86451711"
"maio 2014","Norte","Área colhida (Hectares)","1099066"
"maio 2014","Norte","Produção (Toneladas)","3352621"
"maio 2014","Nordeste","Área colhida (Hectares)","2584649"
"maio 2014","Nordeste","Produção (Toneladas)","7133422"
"maio 2014","Sudeste","Área colhida (Hectares)","1930565"
"maio 2014","Sudeste","Produção (Toneladas)","4881515"
"maio 2014","Sul","Área colhida (Hectares)","10565921"
"maio 2014","Sul","Produção (Toneladas)","29406955"
"maio 2014","Centro-Oeste","Área colhida (Hectares)","13943722"
"maio 2014","Centro-Oeste","Produção (Toneladas)","41677198"
"junho 2014","Brasil","Área colhida (Hectares)","30271060"
"junho 2014","Brasil","Produção (Toneladas)","86601018"
"junho 2014","Norte","Área colhida (Hectares)","1106212"
"junho 2014","Norte","Produção (Toneladas)","3167420"
"junho 2014","Nordeste","Área colhida (Hectares)","2716059"
"junho 2014","Nordeste","Produção (Toneladas)","7347088"
"junho 2014","Sudeste","Área colhida (Hectares)","1930565"
"junho 2014","Sudeste","Produção (Toneladas)","4881515"
"junho 2014","Sul","Área colhida (Hectares)","10563502"
"junho 2014","Sul","Produção (Toneladas)","29510397"
"junho 2014","Centro-Oeste","Área colhida (Hectares)","13954722"
"junho 2014","Centro-Oeste","Produção (Toneladas)","41694598"
"julho 2014","Brasil","Área colhida (Hectares)","30256578"
"julho 2014","Brasil","Produção (Toneladas)","86639858"
"julho 2014","Norte","Área colhida (Hectares)","1106987"
"julho 2014","Norte","Produção (Toneladas)","3168824"
"julho 2014","Nordeste","Área colhida (Hectares)","2716059"
"julho 2014","Nordeste","Produção (Toneladas)","7347088"
"julho 2014","Sudeste","Área colhida (Hectares)","1931095"
"julho 2014","Sudeste","Produção (Toneladas)","4917309"
"julho 2014","Sul","Área colhida (Hectares)","10563502"
"julho 2014","Sul","Produção (Toneladas)","29510397"
"julho 2014","Centro-Oeste","Área colhida (Hectares)","13938935"
"julho 2014","Centro-Oeste","Produção (Toneladas)","41696240"
"agosto 2014","Brasil","Área colhida (Hectares)","30255491"
"agosto 2014","Brasil","Produção (Toneladas)","86642526"
"agosto 2014","Norte","Área colhida (Hectares)","1106990"
"agosto 2014","Norte","Produção (Toneladas)","3171963"
"agosto 2014","Nordeste","Área colhida (Hectares)","2716038"
"agosto 2014","Nordeste","Produção (Toneladas)","7347168"
"agosto 2014","Sudeste","Área colhida (Hectares)","1931095"
"agosto 2014","Sudeste","Produção (Toneladas)","4917309"
"agosto 2014","Sul","Área colhida (Hectares)","10564565"
"agosto 2014","Sul","Produção (Toneladas)","29481627"
"agosto 2014","Centro-Oeste","Área colhida (Hectares)","13936803"
"agosto 2014","Centro-Oeste","Produção (Toneladas)","41724459"
"setembro 2014","Brasil","Área colhida (Hectares)","30161788"
"setembro 2014","Brasil","Produção (Toneladas)","86204857"
"setembro 2014","Norte","Área colhida (Hectares)","1145183"
"setembro 2014","Norte","Produção (Toneladas)","3444116"
"setembro 2014","Nordeste","Área colhida (Hectares)","2580623"
"setembro 2014","Nordeste","Produção (Toneladas)","6583647"
"setembro 2014","Sudeste","Área colhida (Hectares)","1931095"
"setembro 2014","Sudeste","Produção (Toneladas)","4918069"
"setembro 2014","Sul","Área colhida (Hectares)","10565163"
"setembro 2014","Sul","Produção (Toneladas)","29532983"
"setembro 2014","Centro-Oeste","Área colhida (Hectares)","13939724"
"setembro 2014","Centro-Oeste","Produção (Toneladas)","41726042"
"outubro 2014","Brasil","Área colhida (Hectares)","30191435"
"outubro 2014","Brasil","Produção (Toneladas)","86281097"
"outubro 2014","Norte","Área colhida (Hectares)","1149931"
"outubro 2014","Norte","Produção (Toneladas)","3464434"
"outubro 2014","Nordeste","Área colhida (Hectares)","2580668"
"outubro 2014","Nordeste","Produção (Toneladas)","6571511"
"outubro 2014","Sudeste","Área colhida (Hectares)","1939905"
"outubro 2014","Sudeste","Produção (Toneladas)","4955097"
"outubro 2014","Sul","Área colhida (Hectares)","10565163"
"outubro 2014","Sul","Produção (Toneladas)","29532983"
"outubro 2014","Centro-Oeste","Área colhida (Hectares)","13955768"
"outubro 2014","Centro-Oeste","Produção (Toneladas)","41757072"
"novembro 2014","Brasil","Área colhida (Hectares)","30203475"
"novembro 2014","Brasil","Produção (Toneladas)","86310460"
"novembro 2014","Norte","Área colhida (Hectares)","1156371"
"novembro 2014","Norte","Produção (Toneladas)","3475917"
"novembro 2014","Nordeste","Área colhida (Hectares)","2580668"
"novembro 2014","Nordeste","Produção (Toneladas)","6571511"
"novembro 2014","Sudeste","Área colhida (Hectares)","1945505"
"novembro 2014","Sudeste","Produção (Toneladas)","4972977"
"novembro 2014","Sul","Área colhida (Hectares)","10565163"
"novembro 2014","Sul","Produção (Toneladas)","29532983"
"novembro 2014","Centro-Oeste","Área colhida (Hectares)","13955768"
"novembro 2014","Centro-Oeste","Produção (Toneladas)","41757072"
"dezembro 2014","Brasil","Área colhida (Hectares)","30241730"
"dezembro 2014","Brasil","Produção (Toneladas)","86442860"
"dezembro 2014","Norte","Área colhida (Hectares)","1164284"
"dezembro 2014","Norte","Produção (Toneladas)","3501880"
"dezembro 2014","Nordeste","Área colhida (Hectares)","2580708"
"dezembro 2014","Nordeste","Produção (Toneladas)","6570802"
"dezembro 2014","Sudeste","Área colhida (Hectares)","1945505"
"dezembro 2014","Sudeste","Produção (Toneladas)","4972977"
"dezembro 2014","Sul","Área colhida (Hectares)","10565163"
"dezembro 2014","Sul","Produção (Toneladas)","29532983"
"dezembro 2014","Centro-Oeste","Área colhida (Hectares)","13986070"
"dezembro 2014","Centro-Oeste","Produção (Toneladas)","41864218"
"janeiro 2015","Brasil","Área colhida (Hectares)","31305799"
"janeiro 2015","Brasil","Produção (Toneladas)","95516844"
"janeiro 2015","Norte","Área colhida (Hectares)","1202079"
"janeiro 2015","Norte","Produção (Toneladas)","3573792"
"janeiro 2015","Nordeste","Área colhida (Hectares)","2735472"
"janeiro 2015","Nordeste","Produção (Toneladas)","8497214"
"janeiro 2015","Sudeste","Área colhida (Hectares)","2050123"
"janeiro 2015","Sudeste","Produção (Toneladas)","6029621"
"janeiro 2015","Sul","Área colhida (Hectares)","10983179"
"janeiro 2015","Sul","Produção (Toneladas)","33469985"
"janeiro 2015","Centro-Oeste","Área colhida (Hectares)","14334946"
"janeiro 2015","Centro-Oeste","Produção (Toneladas)","43946232"
"fevereiro 2015","Brasil","Área colhida (Hectares)","31406676"
"fevereiro 2015","Brasil","Produção (Toneladas)","94888440"
"fevereiro 2015","Norte","Área colhida (Hectares)","1211778"
"fevereiro 2015","Norte","Produção (Toneladas)","3604111"
"fevereiro 2015","Nordeste","Área colhida (Hectares)","2730621"
"fevereiro 2015","Nordeste","Produção (Toneladas)","8248211"
"fevereiro 2015","Sudeste","Área colhida (Hectares)","2062968"
"fevereiro 2015","Sudeste","Produção (Toneladas)","5782885"
"fevereiro 2015","Sul","Área colhida (Hectares)","11005084"
"fevereiro 2015","Sul","Produção (Toneladas)","33823570"
"fevereiro 2015","Centro-Oeste","Área colhida (Hectares)","14396225"
"fevereiro 2015","Centro-Oeste","Produção (Toneladas)","43429663"
"março 2015","Brasil","Área colhida (Hectares)","31532943"
"março 2015","Brasil","Produção (Toneladas)","94785981"
"março 2015","Norte","Área colhida (Hectares)","1262773"
"março 2015","Norte","Produção (Toneladas)","3766251"
"março 2015","Nordeste","Área colhida (Hectares)","2727430"
"março 2015","Nordeste","Produção (Toneladas)","8306122"
"março 2015","Sudeste","Área colhida (Hectares)","2046818"
"março 2015","Sudeste","Produção (Toneladas)","5562926"
"março 2015","Sul","Área colhida (Hectares)","11042412"
"março 2015","Sul","Produção (Toneladas)","34124250"
"março 2015","Centro-Oeste","Área colhida (Hectares)","14453510"
"março 2015","Centro-Oeste","Produção (Toneladas)","43026432"
"abril 2015","Brasil","Área colhida (Hectares)","31654077"
"abril 2015","Brasil","Produção (Toneladas)","95610365"
"abril 2015","Norte","Área colhida (Hectares)","1294764"
"abril 2015","Norte","Produção (Toneladas)","3864729"
"abril 2015","Nordeste","Área colhida (Hectares)","2761797"
"abril 2015","Nordeste","Produção (Toneladas)","8465258"
"abril 2015","Sudeste","Área colhida (Hectares)","2046980"
"abril 2015","Sudeste","Produção (Toneladas)","5534105"
"abril 2015","Sul","Área colhida (Hectares)","11045648"
"abril 2015","Sul","Produção (Toneladas)","34273180"
"abril 2015","Centro-Oeste","Área colhida (Hectares)","14504888"
"abril 2015","Centro-Oeste","Produção (Toneladas)","43473093"
"maio 2015","Brasil","Área colhida (Hectares)","31862391"
"maio 2015","Brasil","Produção (Toneladas)","96257841"
"maio 2015","Norte","Área colhida (Hectares)","1304042"
"maio 2015","Norte","Produção (Toneladas)","3901963"
"maio 2015","Nordeste","Área colhida (Hectares)","2852400"
"maio 2015","Nordeste","Produção (Toneladas)","8420352"
"maio 2015","Sudeste","Área colhida (Hectares)","2052345"
"maio 2015","Sudeste","Produção (Toneladas)","5702871"
"maio 2015","Sul","Área colhida (Hectares)","11055981"
"maio 2015","Sul","Produção (Toneladas)","34754426"
"maio 2015","Centro-Oeste","Área colhida (Hectares)","14597623"
"maio 2015","Centro-Oeste","Produção (Toneladas)","43478229"
"junho 2015","Brasil","Área colhida (Hectares)","31889040"
"junho 2015","Brasil","Produção (Toneladas)","96442521"
"junho 2015","Norte","Área colhida (Hectares)","1304242"
"junho 2015","Norte","Produção (Toneladas)","3903115"
"junho 2015","Nordeste","Área colhida (Hectares)","2852315"
"junho 2015","Nordeste","Produção (Toneladas)","8380199"
"junho 2015","Sudeste","Área colhida (Hectares)","2052475"
"junho 2015","Sudeste","Produção (Toneladas)","5703255"
"junho 2015","Sul","Área colhida (Hectares)","11047479"
"junho 2015","Sul","Produção (Toneladas)","34708038"
"junho 2015","Centro-Oeste","Área colhida (Hectares)","14632529"
"junho 2015","Centro-Oeste","Produção (Toneladas)","43747914"
"julho 2015","Brasil","Área colhida (Hectares)","31983351"
"julho 2015","Brasil","Produção (Toneladas)","96666669"
"julho 2015","Norte","Área colhida (Hectares)","1346955"
"julho 2015","Norte","Produção (Toneladas)","3997005"
"julho 2015","Nordeste","Área colhida (Hectares)","2851890"
"julho 2015","Nordeste","Produção (Toneladas)","8371226"
"julho 2015","Sudeste","Área colhida (Hectares)","2052475"
"julho 2015","Sudeste","Produção (Toneladas)","5705544"
"julho 2015","Sul","Área colhida (Hectares)","11069602"
"julho 2015","Sul","Produção (Toneladas)","34812684"
"julho 2015","Centro-Oeste","Área colhida (Hectares)","14662429"
"julho 2015","Centro-Oeste","Produção (Toneladas)","43780210"
"agosto 2015","Brasil","Área colhida (Hectares)","31999045"
"agosto 2015","Brasil","Produção (Toneladas)","96744941"
"agosto 2015","Norte","Área colhida (Hectares)","1347895"
"agosto 2015","Norte","Produção (Toneladas)","3999825"
"agosto 2015","Nordeste","Área colhida (Hectares)","2863701"
"agosto 2015","Nordeste","Produção (Toneladas)","8372863"
"agosto 2015","Sudeste","Área colhida (Hectares)","2053475"
"agosto 2015","Sudeste","Produção (Toneladas)","5709144"
"agosto 2015","Sul","Área colhida (Hectares)","11069602"
"agosto 2015","Sul","Produção (Toneladas)","34812684"
"agosto 2015","Centro-Oeste","Área colhida (Hectares)","14664372"
"agosto 2015","Centro-Oeste","Produção (Toneladas)","43850425"
"setembro 2015","Brasil","Área colhida (Hectares)","32058260"
"setembro 2015","Brasil","Produção (Toneladas)","96921027"
"setembro 2015","Norte","Área colhida (Hectares)","1373558"
"setembro 2015","Norte","Produção (Toneladas)","4059866"
"setembro 2015","Nordeste","Área colhida (Hectares)","2865601"
"setembro 2015","Nordeste","Produção (Toneladas)","8376981"
"setembro 2015","Sudeste","Área colhida (Hectares)","2057150"
"setembro 2015","Sudeste","Produção (Toneladas)","5715424"
"setembro 2015","Sul","Área colhida (Hectares)","11069602"
"setembro 2015","Sul","Produção (Toneladas)","34812684"
"setembro 2015","Centro-Oeste","Área colhida (Hectares)","14692349"
"setembro 2015","Centro-Oeste","Produção (Toneladas)","43956072"
"outubro 2015","Brasil","Área colhida (Hectares)","32072011"
"outubro 2015","Brasil","Produção (Toneladas)","96884196"
"outubro 2015","Norte","Área colhida (Hectares)","1384927"
"outubro 2015","Norte","Produção (Toneladas)","4090639"
"outubro 2015","Nordeste","Área colhida (Hectares)","2866052"
"outubro 2015","Nordeste","Produção (Toneladas)","8380782"
"outubro 2015","Sudeste","Área colhida (Hectares)","2085271"
"outubro 2015","Sudeste","Produção (Toneladas)","5751867"
"outubro 2015","Sul","Área colhida (Hectares)","11069602"
"outubro 2015","Sul","Produção (Toneladas)","34812684"
"outubro 2015","Centro-Oeste","Área colhida (Hectares)","14666159"
"outubro 2015","Centro-Oeste","Produção (Toneladas)","43848224"
"novembro 2015","Brasil","Área colhida (Hectares)","32073034"
"novembro 2015","Brasil","Produção (Toneladas)","96926618"
"novembro 2015","Norte","Área colhida (Hectares)","1403009"
"novembro 2015","Norte","Produção (Toneladas)","4170281"
"novembro 2015","Nordeste","Área colhida (Hectares)","2866052"
"novembro 2015","Nordeste","Produção (Toneladas)","8379607"
"novembro 2015","Sudeste","Área colhida (Hectares)","2085271"
"novembro 2015","Sudeste","Produção (Toneladas)","5751867"
"novembro 2015","Sul","Área colhida (Hectares)","11069602"
"novembro 2015","Sul","Produção (Toneladas)","34812684"
"novembro 2015","Centro-Oeste","Área colhida (Hectares)","14649100"
"novembro 2015","Centro-Oeste","Produção (Toneladas)","43812179"
"dezembro 2015","Brasil","Área colhida (Hectares)","32113131"
"dezembro 2015","Brasil","Produção (Toneladas)","97043705"
"dezembro 2015","Norte","Área colhida (Hectares)","1431246"
"dezembro 2015","Norte","Produção (Toneladas)","4251902"
"dezembro 2015","Nordeste","Área colhida (Hectares)","2866052"
"dezembro 2015","Nordeste","Produção (Toneladas)","8379607"
"dezembro 2015","Sudeste","Área colhida (Hectares)","2085631"
"dezembro 2015","Sudeste","Produção (Toneladas)","5753505"
"dezembro 2015","Sul","Área colhida (Hectares)","11078085"
"dezembro 2015","Sul","Produção (Toneladas)","34845607"
"dezembro 2015","Centro-Oeste","Área colhida (Hectares)","14652117"
"dezembro 2015","Centro-Oeste","Produção (Toneladas)","43813084"
"janeiro 2016","Brasil","Área colhida (Hectares)","32956417"
"janeiro 2016","Brasil","Produção (Toneladas)","102689122"
"janeiro 2016","Norte","Área colhida (Hectares)","1468107"
"janeiro 2016","Norte","Produção (Toneladas)","4321895"
"janeiro 2016","Nordeste","Área colhida (Hectares)","2881826"
"janeiro 2016","Nordeste","Produção (Toneladas)","9165602"
"janeiro 2016","Sudeste","Área colhida (Hectares)","2212893"
"janeiro 2016","Sudeste","Produção (Toneladas)","6637322"
"janeiro 2016","Sul","Área colhida (Hectares)","11479878"
"janeiro 2016","Sul","Produção (Toneladas)","36626365"
"janeiro 2016","Centro-Oeste","Área colhida (Hectares)","14913713"
"janeiro 2016","Centro-Oeste","Produção (Toneladas)","45937938"
"fevereiro 2016","Brasil","Área colhida (Hectares)","32981504"
"fevereiro 2016","Brasil","Produção (Toneladas)","101816438"
"fevereiro 2016","Norte","Área colhida (Hectares)","1524097"
"fevereiro 2016","Norte","Produção (Toneladas)","4489228"
"fevereiro 2016","Nordeste","Área colhida (Hectares)","2812274"
"fevereiro 2016","Nordeste","Produção (Toneladas)","8459252"
"fevereiro 2016","Sudeste","Área colhida (Hectares)","2242966"
"fevereiro 2016","Sudeste","Produção (Toneladas)","7090963"
"fevereiro 2016","Sul","Área colhida (Hectares)","11483018"
"fevereiro 2016","Sul","Produção (Toneladas)","35962894"
"fevereiro 2016","Centro-Oeste","Área colhida (Hectares)","14919149"
"fevereiro 2016","Centro-Oeste","Produção (Toneladas)","45814101"
"março 2016","Brasil","Área colhida (Hectares)","33103125"
"março 2016","Brasil","Produção (Toneladas)","100191047"
"março 2016","Norte","Área colhida (Hectares)","1501280"
"março 2016","Norte","Produção (Toneladas)","4282545"
"março 2016","Nordeste","Área colhida (Hectares)","2846718"
"março 2016","Nordeste","Produção (Toneladas)","7310732"
"março 2016","Sudeste","Área colhida (Hectares)","2268590"
"março 2016","Sudeste","Produção (Toneladas)","7225184"
