"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","Brasil e Grande Região","Variável","Valor"
"julho 2007","Nordeste","Área colhida (Hectares)","1451480"
"julho 2007","Nordeste","Produção (Toneladas)","3907432"
"julho 2007","Sudeste","Área colhida (Hectares)","1401395"
"julho 2007","Sudeste","Produção (Toneladas)","3818768"
"julho 2007","Sul","Área colhida (Hectares)","8286645"
"julho 2007","Sul","Produção (Toneladas)","22935047"
"julho 2007","Centro-Oeste","Área colhida (Hectares)","9040759"
"julho 2007","Centro-Oeste","Produção (Toneladas)","26495781"
"agosto 2007","Brasil","Área colhida (Hectares)","20598570"
"agosto 2007","Brasil","Produção (Toneladas)","58238071"
"agosto 2007","Norte","Área colhida (Hectares)","415981"
"agosto 2007","Norte","Produção (Toneladas)","1077251"
"agosto 2007","Nordeste","Área colhida (Hectares)","1451480"
"agosto 2007","Nordeste","Produção (Toneladas)","3907432"
"agosto 2007","Sudeste","Área colhida (Hectares)","1403545"
"agosto 2007","Sudeste","Produção (Toneladas)","3829759"
"agosto 2007","Sul","Área colhida (Hectares)","8286645"
"agosto 2007","Sul","Produção (Toneladas)","22935047"
"agosto 2007","Centro-Oeste","Área colhida (Hectares)","9040919"
"agosto 2007","Centro-Oeste","Produção (Toneladas)","26488582"
"setembro 2007","Brasil","Área colhida (Hectares)","20628694"
"setembro 2007","Brasil","Produção (Toneladas)","58257945"
"setembro 2007","Norte","Área colhida (Hectares)","415981"
"setembro 2007","Norte","Produção (Toneladas)","1076251"
"setembro 2007","Nordeste","Área colhida (Hectares)","1451480"
"setembro 2007","Nordeste","Produção (Toneladas)","3907432"
"setembro 2007","Sudeste","Área colhida (Hectares)","1408045"
"setembro 2007","Sudeste","Produção (Toneladas)","3843259"
"setembro 2007","Sul","Área colhida (Hectares)","8286645"
"setembro 2007","Sul","Produção (Toneladas)","22935047"
"setembro 2007","Centro-Oeste","Área colhida (Hectares)","9066543"
"setembro 2007","Centro-Oeste","Produção (Toneladas)","26495956"
"outubro 2007","Brasil","Área colhida (Hectares)","20627804"
"outubro 2007","Brasil","Produção (Toneladas)","58255667"
"outubro 2007","Norte","Área colhida (Hectares)","415091"
"outubro 2007","Norte","Produção (Toneladas)","1073973"
"outubro 2007","Nordeste","Área colhida (Hectares)","1451480"
"outubro 2007","Nordeste","Produção (Toneladas)","3907432"
"outubro 2007","Sudeste","Área colhida (Hectares)","1408045"
"outubro 2007","Sudeste","Produção (Toneladas)","3843259"
"outubro 2007","Sul","Área colhida (Hectares)","8286645"
"outubro 2007","Sul","Produção (Toneladas)","22935047"
"outubro 2007","Centro-Oeste","Área colhida (Hectares)","9066543"
"outubro 2007","Centro-Oeste","Produção (Toneladas)","26495956"
"novembro 2007","Brasil","Área colhida (Hectares)","20637643"
"novembro 2007","Brasil","Produção (Toneladas)","58197297"
"novembro 2007","Norte","Área colhida (Hectares)","421414"
"novembro 2007","Norte","Produção (Toneladas)","1085204"
"novembro 2007","Nordeste","Área colhida (Hectares)","1451480"
"novembro 2007","Nordeste","Produção (Toneladas)","3907432"
"novembro 2007","Sudeste","Área colhida (Hectares)","1407992"
"novembro 2007","Sudeste","Produção (Toneladas)","3846285"
"novembro 2007","Sul","Área colhida (Hectares)","8286445"
"novembro 2007","Sul","Produção (Toneladas)","22935049"
"novembro 2007","Centro-Oeste","Área colhida (Hectares)","9070312"
"novembro 2007","Centro-Oeste","Produção (Toneladas)","26423327"
"dezembro 2007","Brasil","Área colhida (Hectares)","20641063"
"dezembro 2007","Brasil","Produção (Toneladas)","58189494"
"dezembro 2007","Norte","Área colhida (Hectares)","421414"
"dezembro 2007","Norte","Produção (Toneladas)","1078404"
"dezembro 2007","Nordeste","Área colhida (Hectares)","1452480"
"dezembro 2007","Nordeste","Produção (Toneladas)","3907994"
"dezembro 2007","Sudeste","Área colhida (Hectares)","1411382"
"dezembro 2007","Sudeste","Produção (Toneladas)","3847661"
"dezembro 2007","Sul","Área colhida (Hectares)","8285475"
"dezembro 2007","Sul","Produção (Toneladas)","22932108"
"dezembro 2007","Centro-Oeste","Área colhida (Hectares)","9070312"
"dezembro 2007","Centro-Oeste","Produção (Toneladas)","26423327"
"janeiro 2008","Brasil","Área colhida (Hectares)","20902801"
"janeiro 2008","Brasil","Produção (Toneladas)","58270003"
"janeiro 2008","Norte","Área colhida (Hectares)","449885"
"janeiro 2008","Norte","Produção (Toneladas)","1174735"
"janeiro 2008","Nordeste","Área colhida (Hectares)","1527533"
"janeiro 2008","Nordeste","Produção (Toneladas)","4261216"
"janeiro 2008","Sudeste","Área colhida (Hectares)","1471564"
"janeiro 2008","Sudeste","Produção (Toneladas)","4050813"
"janeiro 2008","Sul","Área colhida (Hectares)","8099967"
"janeiro 2008","Sul","Produção (Toneladas)","21171711"
"janeiro 2008","Centro-Oeste","Área colhida (Hectares)","9353852"
"janeiro 2008","Centro-Oeste","Produção (Toneladas)","27611528"
"fevereiro 2008","Brasil","Área colhida (Hectares)","21015285"
"fevereiro 2008","Brasil","Produção (Toneladas)","59581364"
"fevereiro 2008","Norte","Área colhida (Hectares)","449885"
"fevereiro 2008","Norte","Produção (Toneladas)","1174735"
"fevereiro 2008","Nordeste","Área colhida (Hectares)","1517533"
"fevereiro 2008","Nordeste","Produção (Toneladas)","4234216"
"fevereiro 2008","Sudeste","Área colhida (Hectares)","1420783"
"fevereiro 2008","Sudeste","Produção (Toneladas)","3967883"
"fevereiro 2008","Sul","Área colhida (Hectares)","8115227"
"fevereiro 2008","Sul","Produção (Toneladas)","21299387"
"fevereiro 2008","Centro-Oeste","Área colhida (Hectares)","9511857"
"fevereiro 2008","Centro-Oeste","Produção (Toneladas)","28905143"
"março 2008","Brasil","Área colhida (Hectares)","21113717"
"março 2008","Brasil","Produção (Toneladas)","59944144"
"março 2008","Norte","Área colhida (Hectares)","477517"
"março 2008","Norte","Produção (Toneladas)","1350575"
"março 2008","Nordeste","Área colhida (Hectares)","1569670"
"março 2008","Nordeste","Produção (Toneladas)","4402095"
"março 2008","Sudeste","Área colhida (Hectares)","1384642"
"março 2008","Sudeste","Produção (Toneladas)","3924014"
"março 2008","Sul","Área colhida (Hectares)","8133027"
"março 2008","Sul","Produção (Toneladas)","21064761"
"março 2008","Centro-Oeste","Área colhida (Hectares)","9548861"
"março 2008","Centro-Oeste","Produção (Toneladas)","29202699"
